,age,assists,club,goals,handle,id,matches,minutes,minutes_per_goal,p_name,position,transfer_fee_pounds,transfer_status
0,25,4,Arsenal FC,6,alexis-sanchez,40433,11,909,152,Alexis Sánchez,Left Wing,£25.50m,in
1,19,0,Arsenal FC,1,calum-chambers,215118,6,540,540,Calum Chambers,Right-Back,£1.70m,in
2,23,0,Arsenal FC,1,danny-welbeck,67063,6,540,540,Danny Welbeck,Centre-Forward,£14.45m,in
3,28,0,Arsenal FC,1,mathieu-debuchy,27306,6,540,540,Mathieu Debuchy,Right-Back,£8.50m,in
6,22,4,Arsenal FC,2,wellington-silva,121990,22,1.210,605,Wellington Silva,Right Wing,£1.28m,in
7,21,0,Arsenal FC,0,semi-ajayi,251912,0,0,0,Semi Ajayi,Centre-Back,-,in
8,19,1,Arsenal FC,0,hector-bellerin,191217,11,990,0,Héctor Bellerín,Right-Back,£425k,in
9,22,1,Arsenal FC,0,yaya-sanogo,127194,11,990,0,Yaya Sanogo,Centre-Forward,£1.28m,in
10,19,1,Arsenal FC,3,chuba-akpom,197642,2,180,60,Chuba Akpom,Centre-Forward,£850k,in
11,27,0,Arsenal FC,0,johan-djourou,34561,6,540,0,Johan Djourou,Centre-Back,£2.55m,in
12,21,4,Arsenal FC,2,wellington-silva,121990,22,1.210,605,Wellington Silva,Right Wing,£340k,in
13,22,1,Arsenal FC,3,joel-campbell,131248,6,286,95,Joel Campbell,Left Wing,£4.25m,in
14,23,0,Arsenal FC,0,francis-coquelin,74869,9,658,0,Francis Coquelin,Defensive Midfield,£2.55m,in
15,28,0,Arsenal FC,0,thomas-vermaelen,15904,2,180,0,Thomas Vermaelen,Centre-Back,£11.90m,out
16,27,0,Arsenal FC,0,johan-djourou,34561,6,540,0,Johan Djourou,Centre-Back,£2.55m,out
17,21,0,Arsenal FC,1,ignasi-miquel,70245,12,1.078,1.078,Ignasi Miquel,Centre-Back,£340k,out
18,21,2,Arsenal FC,1,thomas-eisfeld,86643,10,847,847,Thomas Eisfeld,Attacking Midfield,£255k,out
20,31,1,Arsenal FC,0,bacary-sagna,26764,4,348,0,Bacary Sagna,Right-Back,£10.20m,out
21,26,1,Arsenal FC,1,nicklas-bendtner,34557,6,235,235,Nicklas Bendtner,Centre-Forward,£3.40m,out
22,21,4,Arsenal FC,2,wellington-silva,121990,22,1.210,605,Wellington Silva,Right Wing,£340k,out
23,22,0,Arsenal FC,0,carl-jenkinson,126321,1,90,0,Carl Jenkinson,Right-Back,£5.10m,out
24,21,0,Arsenal FC,0,ryo-miyaichi,129688,7,292,0,Ryo Miyaichi,Left Wing,£1.70m,out
25,19,1,Arsenal FC,1,kristoffer-olsson,193592,11,436,436,Kristoffer Olsson,Central Midfield,-,out
26,28,2,Arsenal FC,1,chu-young-park,30982,10,413,413,Chu-Young Park,Centre-Forward,£850k,out
