,age,assists,club,goals,handle,id,matches,minutes,minutes_per_goal,p_name,position,transfer_fee_pounds,transfer_status
0,28,1,Leicester City,2,islam-slimani,174915,5,356,178,Islam Slimani,Centre Forward,£18.70m,in
1,23,0,Leicester City,2,ahmed-musa,168337,7,368,184,Ahmed Musa,Centre Forward,£15.30m,in
2,24,0,Leicester City,0,nampalys-mendy,111051,1,53,0,Nampalys Mendy,Defensive Midfield,£6.38m,in
3,19,0,Leicester City,0,bartosz-kapustka,246579,2,61,0,Bartosz Kapustka,Attacking Midfield,£4.25m,in
4,27,1,Leicester City,5,ron-robert-zieler,21327,3,,213,Ron-Robert Zieler,Keeper,£6.80m,in
5,26,0,Leicester City,0,luis-hernandez,62945,3,236,0,Luis Hernández,Centre Back,£2.13m,in
6,23,2,Leicester City,0,tom-lawrence,229970,9,723,0,Tom Lawrence,Secondary Striker,£850k,in
7,29,0,Leicester City,0,yohan-benalouane,50477,2,135,0,Yohan Benalouane,Centre Back,£2.55m,in
8,25,5,Leicester City,3,andrej-kramaric,46580,9,714,238,Andrej Kramaric,Centre Forward,£6.38m,in
9,25,0,Leicester City,1,ngolo-kante,225083,10,900,900,N'Golo Kanté,Defensive Midfield,£17.00m,out
10,25,5,Leicester City,3,andrej-kramaric,46580,9,714,238,Andrej Kramaric,Centre Forward,£6.38m,out
11,27,0,Leicester City,0,ritchie-de-laet,55687,3,227,0,Ritchie De Laet,Right-Back,£1.70m,out
12,23,0,Leicester City,0,liam-moore,128906,11,990,0,Liam Moore,Centre Back,£1.70m,out
13,33,11,Leicester City,29,dean-hammond,33065,215,18.590,641,Dean Hammond,Central Midfield,£425k,out
14,35,2,Leicester City,0,paul-konchesky,3296,15,1.350,0,Paul Konchesky,Left-Back,£425k,out
15,22,1,Leicester City,0,ryan-watson,121269,9,610,0,Ryan Watson,Defensive Midfield,-,out
16,21,1,Leicester City,3,jonny-maddison,257293,2,,180,Jonny Maddison,Keeper,-,out
17,23,0,Leicester City,0,jacob-blyth,251914,2,29,0,Jacob Blyth,Centre Forward,£85k,out
18,32,0,Leicester City,0,gokhan-inler,19041,3,123,0,Gökhan Inler,Central Midfield,£3.83m,out
19,22,2,Leicester City,0,tom-lawrence,229970,9,723,0,Tom Lawrence,Secondary Striker,£850k,out
20,43,153,Leicester City,653,mark-schwarzer,3357,514,,46.183,Mark Schwarzer,Keeper,£425k,out
21,23,0,Arsenal FC,1,granit-xhaka,111455,7,408,408,Granit Xhaka,Central Midfield,£29.75m,in
22,24,0,Arsenal FC,0,shkodran-mustafi,88590,7,630,0,Shkodran Mustafi,Centre Back,£17.00m,in
23,27,0,Arsenal FC,0,lucas-perez,73185,3,87,0,Lucas Pérez,Secondary Striker,£10.20m,in
24,21,1,Arsenal FC,1,takuma-asano,245744,7,433,433,Takuma Asano,Centre Forward,£1.02m,in
25,20,0,Arsenal FC,0,rob-holding,253341,3,270,0,Rob Holding,Centre Back,£213k,in
26,25,0,Arsenal FC,0,jack-wilshere,74223,9,541,0,Jack Wilshere,Central Midfield,£19.55m,in
27,22,0,Arsenal FC,1,calum-chambers,215118,5,450,450,Calum Chambers,Right-Back,£10.20m,in
28,30,0,Arsenal FC,1,mathieu-debuchy,27306,5,450,450,Mathieu Debuchy,Right-Back,£6.38m,in
29,21,1,Arsenal FC,3,serge-gnabry,159471,8,675,225,Serge Gnabry,Left Wing,£2.13m,out
30,23,4,Arsenal FC,2,wellington-silva,121990,22,1.210,605,Wellington Silva,Right Wing,£1.70m,out
31,21,1,Arsenal FC,1,isaac-hayden,206225,13,885,885,Isaac Hayden,Defensive Midfield,£425k,out
32,24,0,Arsenal FC,0,jack-wilshere,74223,9,541,0,Jack Wilshere,Central Midfield,£19.55m,out
33,35,0,Arsenal FC,0,tomas-rosicky,132,1,18,0,Tomás Rosicky,Attacking Midfield,£850k,out
34,21,0,Arsenal FC,1,calum-chambers,215118,5,450,450,Calum Chambers,Right-Back,£10.20m,out
35,21,1,Arsenal FC,1,takuma-asano,245744,7,433,433,Takuma Asano,Centre Forward,£1.28m,out
36,24,0,Arsenal FC,2,joel-campbell,131248,4,171,86,Joel Campbell,Left Wing,£6.80m,out
